
 iter= 1 ;  day= 2 ;  method= PCA 
 iter= 27 ;  day= 7 ;  method= ICA 

 iter= 24 ;  day= 7 ;  method= ICA 

 iter= 23 ;  day= 7 ;  method= ICA 

 iter= 22 ;  day= 7 ;  method= ICA 

 iter= 21 ;  day= 7 ;  method= ICA 

 iter= 20 ;  day= 7 ;  method= ICA 

 iter= 19 ;  day= 7 ;  method= ICA 

 iter= 26 ;  day= 7 ;  method= ICA 

 iter= 25 ;  day= 7 ;  method= ICA 

 iter= 27 ;  day= 8 ;  method= PCA 

 iter= 25 ;  day= 8 ;  method= PCA 

 iter= 26 ;  day= 8 ;  method= PCA 

 iter= 20 ;  day= 8 ;  method= PCA 

 iter= 22 ;  day= 8 ;  method= PCA 

 iter= 23 ;  day= 8 ;  method= PCA 

 iter= 24 ;  day= 8 ;  method= PCA 

 iter= 21 ;  day= 8 ;  method= PCA 

 iter= 19 ;  day= 8 ;  method= PCA 

 iter= 27 ;  day= 8 ;  method= ICA 

 iter= 21 ;  day= 8 ;  method= ICA 

 iter= 23 ;  day= 8 ;  method= ICA 

 iter= 20 ;  day= 8 ;  method= ICA 

 iter= 25 ;  day= 8 ;  method= ICA 

 iter= 24 ;  day= 8 ;  method= ICA 

 iter= 22 ;  day= 8 ;  method= ICA 

 iter= 26 ;  day= 8 ;  method= ICA 

 iter= 19 ;  day= 8 ;  method= ICA 

 iter= 27 ;  day= 9 ;  method= PCA 

 iter= 20 ;  day= 9 ;  method= PCA 

 iter= 21 ;  day= 9 ;  method= PCA 

 iter= 24 ;  day= 9 ;  method= PCA 

 iter= 25 ;  day= 9 ;  method= PCA 

 iter= 22 ;  day= 9 ;  method= PCA 

 iter= 19 ;  day= 9 ;  method= PCA 

 iter= 26 ;  day= 9 ;  method= PCA 

 iter= 23 ;  day= 9 ;  method= PCA 

 iter= 27 ;  day= 9 ;  method= ICA 

 iter= 24 ;  day= 9 ;  method= ICA 

 iter= 20 ;  day= 9 ;  method= ICA 

 iter= 25 ;  day= 9 ;  method= ICA 

 iter= 26 ;  day= 9 ;  method= ICA 

 iter= 19 ;  day= 9 ;  method= ICA 

 iter= 23 ;  day= 9 ;  method= ICA 

 iter= 22 ;  day= 9 ;  method= ICA 

 iter= 21 ;  day= 9 ;  method= ICA 

 iter= 27 ;  day= 10 ;  method= PCA 

 iter= 26 ;  day= 10 ;  method= PCA 

 iter= 20 ;  day= 10 ;  method= PCA 

 iter= 19 ;  day= 10 ;  method= PCA 

 iter= 21 ;  day= 10 ;  method= PCA 

 iter= 24 ;  day= 10 ;  method= PCA 

 iter= 23 ;  day= 10 ;  method= PCA 

 iter= 25 ;  day= 10 ;  method= PCA 

 iter= 22 ;  day= 10 ;  method= PCA 

 iter= 27 ;  day= 10 ;  method= ICA 

 iter= 21 ;  day= 10 ;  method= ICA 

 iter= 26 ;  day= 10 ;  method= ICA 

 iter= 19 ;  day= 10 ;  method= ICA 

 iter= 24 ;  day= 10 ;  method= ICA 

 iter= 23 ;  day= 10 ;  method= ICA 

 iter= 36 ;  day= 2 ;  method= PCA 

 iter= 20 ;  day= 10 ;  method= ICA 

 iter= 22 ;  day= 10 ;  method= ICA 

 iter= 25 ;  day= 10 ;  method= ICA 

 iter= 30 ;  day= 2 ;  method= PCA 

 iter= 32 ;  day= 2 ;  method= PCA 

 iter= 28 ;  day= 2 ;  method= PCA 

 iter= 33 ;  day= 2 ;  method= PCA 

 iter= 35 ;  day= 2 ;  method= PCA 

 iter= 29 ;  day= 2 ;  method= PCA 

 iter= 31 ;  day= 2 ;  method= PCA 

 iter= 34 ;  day= 2 ;  method= PCA 

 iter= 36 ;  day= 2 ;  method= ICA 

 iter= 32 ;  day= 2 ;  method= ICA 

 iter= 30 ;  day= 2 ;  method= ICA 

 iter= 28 ;  day= 2 ;  method= ICA 

 iter= 36 ;  day= 3 ;  method= PCA 

 iter= 35 ;  day= 2 ;  method= ICA 

 iter= 33 ;  day= 2 ;  method= ICA 

 iter= 34 ;  day= 2 ;  method= ICA 

 iter= 29 ;  day= 2 ;  method= ICA 

 iter= 31 ;  day= 2 ;  method= ICA 

 iter= 32 ;  day= 3 ;  method= PCA 

 iter= 36 ;  day= 3 ;  method= ICA 

 iter= 28 ;  day= 3 ;  method= PCA 

 iter= 30 ;  day= 3 ;  method= PCA 

 iter= 33 ;  day= 3 ;  method= PCA 

 iter= 35 ;  day= 3 ;  method= PCA 

 iter= 29 ;  day= 3 ;  method= PCA 

 iter= 31 ;  day= 3 ;  method= PCA 

 iter= 34 ;  day= 3 ;  method= PCA 

 iter= 32 ;  day= 3 ;  method= ICA 

 iter= 36 ;  day= 4 ;  method= PCA 

 iter= 28 ;  day= 3 ;  method= ICA 

 iter= 30 ;  day= 3 ;  method= ICA 

 iter= 35 ;  day= 3 ;  method= ICA 

 iter= 31 ;  day= 3 ;  method= ICA 

 iter= 29 ;  day= 3 ;  method= ICA 

 iter= 33 ;  day= 3 ;  method= ICA 

 iter= 34 ;  day= 3 ;  method= ICA 

 iter= 32 ;  day= 4 ;  method= PCA 

